,Next Day Close,Predicted Next Close,Current Day Close,Next Day Open,Signal,PnL
297,6.39,6.213863608495813,7.15,7.1,1,-10.0
298,6.68,6.409981455314919,6.45,6.01,1,11.148086522462561
299,7.04,6.78889110991011,6.03,6.2,1,13.548387096774192
300,7.25,7.1428964008330516,6.35,6.38,1,13.636363636363638
301,7.0,7.290917360990789,6.77,6.71,1,4.321907600596125
302,7.27,7.065079153874904,7.1,6.98,1,4.154727793696263
303,7.54,7.472172717050198,6.85,6.82,1,10.557184750733134
304,8.29,7.630719690128244,7.03,7.1,1,16.760563380281685
305,8.41,8.46574008783071,6.33,6.12,0,0.0
306,7.57,8.468020085488462,5.82,5.93,0,0.0
307,8.04,7.5429363673131595,6.34,6.38,0,0.0
308,8.84,8.121434278709131,6.15,6.21,0,0.0
309,8.86,8.755986329585795,6.3,6.2,0,0.0
310,8.68,8.861773796768176,6.49,6.53,0,0.0
311,8.54,9.010703542483753,6.54,6.41,0,0.0
312,8.93,8.65690362806643,6.63,6.56,0,0.0
313,8.7,8.938740212538761,6.74,6.66,0,0.0
314,8.1,8.396010801351878,6.3,6.3,0,0.0
315,8.09,8.176532195949477,6.27,6.12,0,0.0
316,8.6,8.47784501609138,6.09,6.14,0,0.0
317,8.62,8.519634185398246,6.17,6.37,0,0.0
318,8.78,8.412055268340993,6.39,6.38,0,0.0
319,8.83,8.778001413487146,6.68,6.84,0,0.0
320,8.79,9.072577290218106,7.04,6.98,0,0.0
321,9.17,8.870298661243652,7.25,7.14,0,0.0
322,8.89,9.000318300338478,7.0,6.95,0,0.0
323,9.18,8.801626456416926,7.27,7.34,0,0.0
324,9.93,9.35373389791792,7.54,7.6,0,0.0
325,9.7,10.0876915362999,8.29,8.6,0,0.0
326,9.61,9.471116082985901,8.41,8.24,0,0.0
327,9.63,9.555553949157257,7.57,7.5,0,0.0
328,9.57,9.565946021156634,8.04,8.06,0,0.0
329,9.75,9.55455381089567,8.84,9.01,1,8.21309655937847
330,9.71,9.74369262389817,8.86,8.65,0,0.0
331,9.83,9.627390682154584,8.68,8.55,0,0.0
332,10.3,10.007489477178098,8.54,8.65,0,0.0
333,9.28,10.29070362248902,8.93,8.88,0,0.0
334,9.07,9.028839200279691,8.7,8.31,1,9.145607701564378
335,9.14,9.080925431520228,8.1,8.15,1,12.147239263803684
336,8.9,9.108977897830556,8.09,8.11,1,9.741060419235524
337,9.1,8.790104212831721,8.6,8.54,1,6.557377049180333
338,10.01,9.15087574465295,8.62,8.55,1,17.076023391812853
339,10.75,10.03844832778421,8.78,8.64,0,0.0
340,10.06,10.881484753928163,8.83,8.68,0,0.0
341,9.95,9.88570294047102,8.79,8.8,0,0.0
342,9.72,9.8567303193079,9.17,9.1,1,6.813186813186825
343,9.67,9.770647696171437,8.89,8.76,0,0.0
344,9.76,9.400053292901504,9.18,8.9,1,9.6629213483146
345,9.94,9.821735793880435,9.93,9.81,1,1.3251783893985627
346,9.87,9.902358697068195,9.7,9.86,1,0.10141987829614389
347,10.18,9.865079417805902,9.61,9.6,1,6.041666666666668
348,10.04,9.957362451950104,9.63,9.63,1,4.25752855659396
349,10.23,9.80139509019071,9.57,9.57,1,6.896551724137932
350,10.51,10.375242840072389,9.75,9.68,1,8.574380165289258
351,10.78,10.629155189827799,9.71,9.65,1,11.709844559585482
352,10.51,10.88072205146753,9.83,9.9,1,6.1616161616161556
353,10.61,10.432536958377824,10.3,10.15,1,4.5320197044334884
354,10.18,10.540412069803352,9.28,9.25,0,0.0
355,10.22,10.048012465074208,9.07,9.1,1,12.307692307692319
356,10.4,10.09800115781698,9.14,9.23,1,12.676056338028168
357,10.1,10.27880064981153,8.9,8.99,0,0.0
358,9.1,9.990081820443521,9.1,9.06,1,0.4415011037527499
359,8.59,8.964818118033946,10.01,10.39,1,-17.324350336862373
360,8.94,8.4606395240219,10.75,10.47,1,-14.613180515759321
361,8.05,8.791599797560849,10.06,9.9,1,-18.68686868686868
362,8.06,7.879826380968807,9.95,9.85,1,-18.172588832487303
363,7.25,8.103381036936554,9.72,9.66,1,-24.94824016563147
364,7.29,7.309362946495894,9.67,9.71,1,-24.92276004119465
365,6.92,7.020921121856445,9.76,9.78,1,-29.24335378323108
366,7.12,6.7560513145974985,9.94,10.03,1,-29.012961116650043
367,7.1,6.9602327171117215,9.87,9.93,1,-28.49949647532729
368,7.81,7.400179919011207,10.18,10.18,1,-23.280943025540278
369,8.59,7.788584202450948,10.04,10.09,1,-14.866204162537166
370,8.7,8.526772381893608,10.23,10.23,1,-14.95601173020529
371,8.52,8.65624383794355,10.51,10.49,1,-18.77979027645377
372,8.88,8.48066592287367,10.78,10.62,1,-16.38418079096044
373,8.85,9.07612268939127,10.51,10.48,1,-15.553435114503825
374,7.97,8.569292315816057,10.61,10.67,1,-25.304592314901598
375,8.27,7.8760081481407545,10.18,10.25,1,-19.31707317073171
376,7.94,8.259420653495255,10.22,10.25,1,-22.536585365853654
377,8.38,7.982721553223455,10.4,10.45,1,-19.808612440191375
378,8.06,8.26029203609076,10.1,10.16,1,-20.669291338582674
379,8.29,8.042443785535653,9.1,8.57,1,-3.2672112018669908
380,8.26,8.379030918276186,8.59,8.59,1,-3.8416763678696166
381,8.58,8.562476647678778,8.94,8.76,1,-2.054794520547942
382,8.65,8.513537127622186,8.05,8.27,1,4.594921402660227
383,8.58,8.831534236505178,8.06,7.8,0,0.0
384,9.0,8.7092292559785,7.25,7.28,0,0.0
385,9.2,9.10596968467442,7.29,7.39,0,0.0
386,9.7,9.219946410779158,6.92,6.64,0,0.0
387,9.5,9.50339306493268,7.12,7.2,0,0.0
388,9.63,9.601617931427683,7.1,6.9,0,0.0
389,9.91,9.52881856560569,7.81,8.04,0,0.0
390,9.75,10.017840632131339,8.59,8.68,0,0.0
391,8.78,9.513540460912992,8.7,8.55,1,2.690058479532148
392,8.88,8.774696901188946,8.52,8.6,1,3.2558139534883854
393,8.0,8.95892173978362,8.88,9.0,1,-11.11111111111111
394,8.24,7.837384978552364,8.85,8.62,1,-4.408352668213446
395,8.65,8.155564804280658,7.97,8.0,1,8.125000000000004
396,8.93,8.682897638103242,8.27,8.0,1,11.624999999999996
397,8.45,9.050632770823796,7.94,7.99,0,0.0
398,8.8,8.549574367857787,8.38,8.29,1,6.151990349819079
399,8.64,8.72880148673292,8.06,8.29,1,4.221954161640548
400,8.53,8.58518759869483,8.29,8.12,1,5.049261083743844
401,8.29,8.538211823625971,8.26,8.25,1,0.48484848484847454
402,8.4,8.301064802751426,8.58,8.55,1,-1.7543859649122848
403,8.55,8.513833846266863,8.65,8.25,1,3.636363636363645
404,8.66,8.31480906153891,8.58,8.59,1,0.8149010477299219
405,8.32,8.501744206364748,9.0,8.88,1,-6.306306306306311
406,8.45,8.185438406547547,9.2,9.2,1,-8.152173913043478
407,8.67,8.592183892217946,9.7,9.5,1,-8.736842105263158
408,8.96,8.60026722003684,9.5,9.58,1,-6.471816283924834
409,8.75,8.99272829958798,9.63,9.62,1,-9.043659043659035
410,8.89,8.782518902512749,9.91,9.83,1,-9.562563580874867
411,8.53,9.086697147121669,9.75,9.6,1,-11.145833333333337
412,8.62,8.475901560606218,8.78,8.88,1,-2.927927927927945
413,8.5,8.503766107092162,8.88,8.87,1,-4.1713641488162265
414,8.2,8.435288125804874,8.0,8.0,1,2.499999999999991
415,8.43,8.216498967037552,8.24,8.22,1,2.554744525547434
416,8.33,8.520684541446172,8.65,8.6,1,-3.1395348837209256
417,8.32,8.234188283018085,8.93,8.82,1,-5.668934240362812
418,8.5,8.230088713152583,8.45,8.51,1,-0.11750881316098458
419,8.52,8.636446645260804,8.8,8.78,1,-2.961275626423688
420,8.33,8.511697029938006,8.64,8.36,1,-0.3588516746411407
421,8.18,8.445639247026776,8.53,8.56,1,-4.439252336448607
422,8.33,8.055572224150893,8.29,8.13,1,2.4600246002459936
423,8.14,8.38078951248761,8.4,8.47,1,-3.8961038961038965
424,8.25,8.10779344786286,8.55,8.5,1,-2.941176470588235
425,8.43,8.22455316276617,8.66,8.73,1,-3.4364261168384957
426,8.73,8.49755285658037,8.32,8.3,1,5.180722891566261
427,8.46,8.679040136233453,8.45,8.45,1,0.11834319526629071
428,8.71,8.445974025594552,8.67,8.72,1,-0.11467889908256636
429,8.6,8.736701176395655,8.96,8.86,1,-2.934537246049659
430,8.85,8.647996999217213,8.75,8.74,1,1.258581235697934
431,8.96,8.874989416867976,8.89,8.81,1,1.702610669693534
432,8.75,8.999538317449407,8.53,8.49,1,3.0624263839811516
433,9.24,8.753000710228008,8.62,8.66,1,6.697459584295613
434,9.02,9.336759777051412,8.5,8.48,1,6.367924528301877
435,9.04,8.924329230281074,8.2,8.28,1,9.178743961352655
436,8.91,8.982827146431447,8.43,8.44,1,5.568720379146928
437,9.22,9.026403310078678,8.33,8.35,1,10.41916167664672
438,9.19,9.161319920395982,8.32,8.31,1,10.589651022864006
439,9.45,9.314365437613816,8.5,8.43,1,12.099644128113875
440,9.18,9.363976165196874,8.52,8.52,1,7.746478873239439
441,9.12,9.279807230235093,8.33,8.35,1,9.22155688622754
442,8.49,9.109577373146095,8.18,8.24,1,3.033980582524272
443,8.19,8.344994000926164,8.33,8.33,1,-1.68067226890757
444,7.99,8.139970003753916,8.14,8.17,1,-2.2031823745410004
445,8.03,7.930739341896042,8.25,8.45,1,-4.970414201183432
446,8.14,8.056329383234043,8.43,8.47,1,-3.8961038961038965
447,8.15,8.128025287306883,8.73,8.55,1,-4.678362573099419
448,7.67,8.154758523286802,8.46,8.5,1,-9.764705882352942
449,7.62,7.5796486922875195,8.71,8.68,1,-12.211981566820272
450,7.63,7.6521356863188705,8.6,8.49,1,-10.129564193168438
451,7.67,7.548640400297955,8.85,8.83,1,-13.137032842582109
452,7.57,7.7517484509255885,8.96,8.7,1,-12.988505747126428
453,7.56,7.596508598722067,8.75,8.76,1,-13.698630136986303
454,7.46,7.603854697149727,9.24,9.2,1,-18.913043478260864
455,7.53,7.355991802130375,9.02,8.98,1,-16.146993318485524
456,7.39,7.4022009844877905,9.04,8.94,1,-17.33780760626398
457,7.74,7.34776445525793,8.91,8.94,1,-13.4228187919463
458,7.73,7.89242405684061,9.22,9.14,1,-15.426695842450766
459,7.81,7.76477130311403,9.19,9.17,1,-14.830970556161398
460,7.81,7.8326750014778375,9.45,9.38,1,-16.737739872068243
461,7.84,7.836918835305624,9.18,9.31,1,-15.789473684210531
462,7.87,7.8834408743526,9.12,8.7,1,-9.540229885057462
463,7.76,7.95003193344317,8.49,8.5,1,-8.70588235294118
464,7.3,7.776289131677259,8.19,8.05,1,-9.316770186335415
465,7.42,7.278605623821277,7.99,8.0,1,-7.250000000000001
466,7.64,7.494235966132037,8.03,8.07,1,-5.3283767038413945
467,7.65,7.602730731024422,8.14,8.14,1,-6.019656019656021
468,7.7,7.724851448040936,8.15,8.15,1,-5.521472392638039
469,7.53,7.7998526836848034,7.67,7.68,1,-1.9531249999999931
470,7.34,7.619341412511203,7.62,7.55,1,-2.7814569536423837
471,7.53,7.327525357260384,7.63,7.64,1,-1.439790575916223
472,7.48,7.535362478181269,7.67,7.62,1,-1.8372703412073448
473,7.42,7.52411889536168,7.57,7.61,1,-2.4967148488830535
474,7.53,7.598542384406101,7.56,7.56,1,-0.39682539682538837
475,7.82,7.577253913982786,7.46,7.48,1,4.545454545454543
476,7.8,7.801560426839642,7.53,7.46,1,4.55764075067024
477,7.83,7.760634607994944,7.39,7.45,1,5.100671140939596
478,7.74,7.890260034716703,7.74,7.72,1,0.25906735751295934
479,7.83,7.8764479328049495,7.73,7.77,1,0.7722007722007787
480,7.79,7.864640400697026,7.81,7.84,1,-0.6377551020408141
481,7.93,7.7645404697498455,7.81,7.81,1,1.5364916773367492
482,7.84,7.993350625572275,7.84,7.81,1,0.3841229193341901
483,7.83,7.937234700609479,7.87,7.89,1,-0.7604562737642536
484,7.77,7.881598467424992,7.76,7.65,1,1.5686274509803817
485,7.84,7.7443016024292595,7.3,7.33,1,6.95770804911323
486,7.86,7.849441950103283,7.42,7.35,1,6.938775510204091
487,7.92,7.937570432560533,7.64,7.67,1,3.259452411994785
488,7.84,8.035055301104222,7.65,7.65,1,2.4836601307189476
489,7.83,7.889006489083186,7.7,7.68,1,1.9531250000000049
490,7.85,7.87321788248235,7.53,7.56,1,3.8359788359788363
491,8.14,7.845780763086878,7.34,7.35,1,10.748299319727904
492,8.05,8.234671279332616,7.53,7.5,1,7.333333333333343
493,8.0,8.087403579858147,7.48,7.52,1,6.382978723404261
494,8.07,8.064098456360881,7.42,7.4,1,9.054054054054053
495,8.1,8.09929521883467,7.53,7.47,1,8.433734939759036
496,7.74,8.081244230629892,7.82,7.8,1,-0.7692307692307643
497,7.71,7.72657840932814,7.8,7.8,1,-1.153846153846152
498,7.69,7.783712950021509,7.83,7.85,1,-2.038216560509545
499,7.49,7.734198679983165,7.74,7.7,1,-2.7272727272727266
500,7.47,7.458383331900477,7.83,7.84,1,-4.7193877551020424
501,7.55,7.461595935757287,7.79,7.78,1,-2.9562982005141443
502,7.62,7.639136835186291,7.93,7.89,1,-3.422053231939158
503,7.51,7.681187781864792,7.84,7.8,1,-3.7179487179487185
504,7.56,7.546194261299461,7.83,7.81,1,-3.201024327784891
505,7.62,7.588008851696286,7.77,7.77,1,-1.930501930501924
506,7.58,7.727426169625033,7.84,7.85,1,-3.439490445859867
507,7.46,7.579683796512909,7.86,7.83,1,-4.725415070242658
508,7.52,7.50699178118819,7.92,7.91,1,-4.930467762326177
509,7.64,7.555643255774412,7.84,7.85,1,-2.6751592356687897
510,7.75,7.667865802427769,7.83,7.8,1,-0.6410256410256387
511,7.73,7.7627746179453245,7.85,7.85,1,-1.5286624203821557
512,7.76,7.762740883695442,8.14,8.09,1,-4.079110012360941
513,7.74,7.8493639980545415,8.05,8.09,1,-4.326328800988871
514,7.73,7.773899239556413,8.0,7.99,1,-3.254067584480598
515,7.77,7.754695426857579,8.07,8.07,1,-3.7174721189591162
516,7.88,7.840773088343922,8.1,8.1,1,-2.716049382716047
517,7.67,7.9855514678158945,7.74,7.79,1,-1.5404364569961502
518,7.99,7.715036860852051,7.71,7.68,1,4.03645833333334
519,8.32,8.059512334129323,7.69,7.68,1,8.333333333333341
520,8.18,8.36944892980253,7.49,7.5,1,9.066666666666663
521,8.34,8.213688491562863,7.47,7.46,1,11.796246648793565
522,8.34,8.486918941848927,7.55,7.52,1,10.904255319148941
523,8.11,8.39369708644088,7.62,7.58,1,6.99208443271767
524,8.23,8.090094304479209,7.51,7.51,1,9.58721704394142
525,8.61,8.282681574997042,7.56,7.6,1,13.289473684210524
526,9.3,8.678142199012001,7.62,7.62,0,0.0
527,9.01,9.505470420302373,7.58,7.57,0,0.0
528,8.82,8.98272366945028,7.46,7.51,0,0.0
529,8.81,8.853022072881942,7.52,7.53,0,0.0
530,8.9,8.866154329570492,7.64,7.64,0,0.0
531,8.61,8.7982159867054,7.75,7.73,0,0.0
532,8.71,8.685641787257993,7.73,7.72,1,12.823834196891207
533,8.88,8.835890519559399,7.76,7.76,0,0.0
534,8.71,8.996904528069791,7.74,7.74,0,0.0
535,8.83,8.589946880248391,7.73,7.74,1,14.082687338501291
536,8.93,8.732955250375454,7.77,7.8,1,14.487179487179485
537,8.76,9.075714020185188,7.88,7.8,0,0.0
538,8.52,8.815972348277938,7.67,7.69,0,0.0
539,8.3,8.58260432119576,7.99,8.02,1,3.491271820448892
540,8.31,8.207692098814078,8.32,8.37,1,-0.7168458781361855
541,8.41,8.343892931017109,8.18,8.18,1,2.8117359413202987
542,8.57,8.393479190427826,8.34,8.28,1,3.5024154589372096
543,8.53,8.607289571790972,8.34,8.23,1,3.645200486026718
544,8.57,8.564741115678117,8.11,8.18,1,4.7677261613692
545,8.63,8.529020458644737,8.23,8.23,1,4.8602673147023125
546,8.73,8.620519696512275,8.61,8.5,1,2.7058823529411815
547,8.38,8.74025419675607,9.3,9.11,1,-8.013172338089996
548,8.39,8.430677791136333,9.01,8.97,1,-6.465997770345597
549,8.24,8.470119456188769,8.82,8.7,1,-5.28735632183907
550,8.28,8.205357486974464,8.81,8.85,1,-6.440677966101699
551,8.24,8.20114825486533,8.9,8.78,1,-6.1503416856491935
552,8.02,8.230235776350384,8.61,8.62,1,-6.960556844547561
553,7.95,8.03174840042928,8.71,8.76,1,-9.246575342465748
554,7.97,8.009224988821444,8.88,8.78,1,-9.2255125284738
555,7.91,7.937323760600775,8.71,8.7,1,-9.080459770114933
556,7.79,7.889255732773818,8.83,8.84,1,-11.877828054298641
557,7.79,7.916987919899184,8.93,8.88,1,-12.274774774774782
558,7.9,7.842955326147858,8.76,8.71,1,-9.29965556831229
559,7.91,7.98029389757292,8.52,8.5,1,-6.941176470588234
560,7.93,7.839832988519702,8.3,8.3,1,-4.457831325301216
561,7.91,7.974044874437168,8.31,8.33,1,-5.042016806722689
562,7.91,7.97938791925415,8.41,8.43,1,-6.168446026097267
563,7.9,7.931024857224911,8.57,8.59,1,-8.032596041909192
564,7.96,7.894872202548213,8.53,8.49,1,-6.2426383981154325
565,8.06,7.971175794325318,8.57,8.54,1,-5.620608899297409
566,8.41,8.149029668430813,8.63,8.08,1,4.084158415841585
567,8.13,8.510564405830593,8.73,8.61,1,-5.574912891986047
568,8.13,8.12495555205831,8.38,8.27,1,-1.692865779927434
569,8.15,8.17644178798517,8.39,8.32,1,-2.04326923076923
570,8.07,8.201927565339503,8.24,8.22,1,-1.8248175182481792
571,7.9,8.06726639328852,8.28,8.36,1,-5.502392344497597
572,7.9,7.975025080329288,8.24,7.99,1,-1.1264080100125138
573,7.96,7.954845776675284,8.02,8.0,1,-0.5000000000000004
574,7.94,8.030464293794722,7.95,7.91,1,0.37926675094817003
575,7.87,7.941461938036155,7.97,7.96,1,-1.1306532663316566
576,7.86,7.862978498752709,7.91,7.9,1,-0.5063291139240511
